CAAV Dataset,,,,,,,,,,,,,,,
Video_ID,Action_description,POV,Gender,V_M_Tot,V_SD_Tot,A_M_Tot,A_SD_Tot,V_M_Fem,V_SD_Fem,V_M_Mal,V_SD_Mal,A_M_Fem,A_SD_Fem,A_M_Mal,A_SD_Mal
1_F_001,Poisoning a person,1,F,2.33,1.98,5.81,2.67,2.06,1.91,2.60,2.04,5.35,2.48,6.26,2.81
1_M_001,Poisoning a person,1,M,2.60,1.99,6.00,2.70,2.54,2.02,2.65,2.00,6.65,2.54,5.33,2.73
3_F_001,Poisoning a person,3,F,2.26,1.60,6.71,2.25,1.97,1.33,2.62,1.83,6.61,2.36,6.82,2.18
3_M_001,Poisoning a person,3,M,2.08,1.42,6.22,2.50,1.81,1.29,2.37,1.54,7.13,1.98,5.29,2.67
1_F_002,Kicking something ,1,F,2.84,1.71,5.25,2.50,2.41,1.56,3.38,1.77,5.71,2.24,4.79,2.69
1_M_002,Kicking something ,1,M,2.45,2.53,7.14,2.28,2.24,2.51,2.68,2.60,7.72,1.97,6.55,2.45
3_F_002,Kicking something ,3,F,2.51,1.82,5.51,2.54,2.71,1.95,2.30,1.68,5.46,2.18,5.56,2.89
3_M_002,Kicking something ,3,M,1.81,1.43,6.13,2.84,1.96,1.43,1.65,1.44,6.84,2.54,5.40,2.98
1_F_003,Slapping someone ,1,F,3.29,1.85,5.39,2.45,2.85,1.59,3.73,2.01,6.29,2.36,4.47,2.22
1_M_003,Slapping someone ,1,M,1.74,1.10,7.11,2.16,1.47,0.95,2.08,1.20,6.96,2.47,7.25,1.84
3_F_003,Slapping someone ,3,F,3.58,2.35,5.05,2.41,3.43,2.34,3.74,2.42,5.63,2.54,4.45,2.16
3_M_003,Slapping someone ,3,M,2.59,2.32,6.81,2.34,2.29,2.44,2.90,2.19,6.58,2.47,7.04,2.23
1_F_004,Stealing from someone,1,F,2.64,1.90,5.79,2.67,2.34,1.99,3.00,1.74,6.07,2.72,5.50,2.65
1_M_004,Stealing from someone,1,M,2.03,1.48,5.67,2.29,1.71,1.06,2.37,1.80,6.72,2.05,4.58,2.03
3_F_004,Stealing from someone,3,F,2.75,1.96,6.94,2.05,2.65,2.18,2.87,1.74,6.69,2.02,7.19,2.09
3_M_004,Stealing from someone,3,M,3.50,2.17,5.66,2.83,3.46,2.25,3.54,2.14,6.55,2.49,4.73,2.90
1_F_005,Drawing a swastika,1,F,2.50,1.67,4.66,2.49,2.16,1.51,2.92,1.79,4.54,2.70,4.79,2.30
1_M_005,Drawing a swastika,1,M,3.10,2.72,5.06,2.64,2.38,2.29,3.89,2.98,5.47,2.59,4.65,2.67
3_F_005,Drawing a swastika,3,F,2.07,1.09,5.53,3.03,1.97,1.05,2.17,1.15,6.04,2.79,5.04,3.22
3_M_005,Drawing a swastika,3,M,2.33,1.79,5.10,3.01,2.73,2.07,1.92,1.38,6.03,2.88,4.13,2.87
1_F_006,Being threatened with a knife,1,F,2.05,1.63,6.96,2.30,1.56,1.01,2.65,2.02,7.11,2.10,6.82,2.52
1_M_006,Being threatened with a knife,1,M,2.73,2.16,6.32,2.40,2.90,2.64,2.53,1.50,7.31,2.07,5.29,2.30
3_F_006,Being threatened with a knife,3,F,1.79,1.50,7.04,2.33,1.55,1.46,2.03,1.52,6.73,2.57,7.33,2.08
3_M_006,Being threatened with a knife,3,M,2.54,1.99,6.13,2.90,2.65,2.10,2.42,1.92,7.10,2.52,5.13,2.97
1_F_007,Being kidnapped,1,F,2.55,2.14,6.65,2.40,2.29,2.10,2.84,2.19,7.16,2.33,6.13,2.40
1_M_007,Being kidnapped,1,M,2.41,1.89,5.92,2.34,2.13,1.73,2.70,2.04,5.73,2.46,6.11,2.24
3_F_007,Being kidnapped,3,F,1.85,1.54,6.41,2.79,2.00,1.74,1.69,1.32,7.39,2.42,5.40,2.82
3_M_007,Being kidnapped,3,M,2.38,1.68,6.09,2.55,2.16,1.42,2.65,1.96,6.39,2.64,5.79,2.45
1_F_008,Being scared,1,F,2.83,2.02,5.83,2.51,2.14,1.74,3.58,2.09,6.63,2.59,5.00,2.18
1_M_008,Being scared,1,M,3.31,2.14,5.89,2.33,3.10,2.24,3.53,2.05,5.69,2.13,6.07,2.54
3_F_008,Being scared,3,F,3.15,2.23,5.59,2.54,3.27,2.46,3.04,2.01,6.42,2.41,4.73,2.42
3_M_008,Being scared,3,M,2.93,1.80,5.86,2.50,2.50,1.63,3.46,1.88,6.11,2.38,5.61,2.63
1_F_009,Dropping the phone ,1,F,3.21,1.73,5.31,2.75,3.08,1.72,3.35,1.77,5.58,2.50,5.03,3.01
1_M_009,Dropping the phone ,1,M,3.17,1.58,5.89,2.39,3.03,1.28,3.35,1.90,6.11,2.39,5.68,2.42
