Arousal,P_Gender_A,A_Gender_A,POV_A
3.666666667,1,1,1
2.952380952,1,1,1
3.72,1,1,1
2.666666667,1,1,1
2.095238095,1,1,1
2.5,1,1,1
4.1,1,1,1
4.80952381,1,1,1
3.5,1,1,1
3.916666667,1,1,1
5.291666667,1,1,1
5.1,1,1,1
4.7,1,1,1
2.55,1,1,1
2.952380952,1,1,1
2.916666667,1,1,1
3.95,1,1,1
3.238095238,1,1,1
4.05,1,1,1
3.84,1,1,1
1.619047619,1,1,1
4.285714286,1,1,1
5.833333333,1,1,1
5.047619048,1,1,1
4.428571429,1,1,1
2.95,1,1,1
2.428571429,1,1,1
3.958333333,1,1,1
3.708333333,1,1,1
5.416666667,1,1,1
3.7,1,1,1
3.380952381,1,1,1
4.208333333,1,1,1
1.80952381,1,1,1
5.4,1,1,1
4.095238095,1,1,1
3.714285714,1,1,1
1.72,1,1,1
3.95,1,1,1
1,1,1,1
6.65,1,1,1
3.041666667,1,1,1
3.84,1,1,1
5.24,1,1,1
3.125,1,1,1
3.65,1,1,1
3.619047619,1,1,1
4.2,1,1,1
2.291666667,1,1,1
5.92,1,1,1
3.48,1,1,1
2.625,1,1,1
4.28,1,1,1
4.35,1,1,1
3.45,1,1,1
6,1,1,1
5.08,1,1,1
6.1,1,1,1
3.5,1,1,1
4.64,1,1,1
1.761904762,1,1,1
4.15,1,1,1
5.238095238,1,1,1
2.6,1,1,1
3.523809524,1,1,1
4,1,1,1
5.05,1,1,1
5.92,1,1,1
5.916666667,1,1,1
2.15,1,1,1
3.5,1,1,1
2,1,1,1
2.75,1,1,1
6.52,1,1,1
5,1,1,1
3.875,1,1,1
3.25,1,1,1
5.4,1,1,1
2.916666667,1,1,1
5.75,1,1,1
5.4,1,1,1
4,1,1,1
2.08,1,1,1
2.125,1,1,1
2.380952381,1,1,1
3.875,1,1,1
4.428571429,1,1,1
2.523809524,1,1,1
4.291666667,1,1,1
3.458333333,1,1,1
5.8,1,1,1
3.095238095,1,1,1
1.208333333,1,1,1
3.80952381,1,1,1
2.166666667,1,1,1
3,1,1,1
3.416666667,1,1,1
1.666666667,1,1,1
5.15,1,1,1
4,1,1,1
2.36,1,1,1
3.45,1,1,1
3,1,1,1
5.84,1,1,1
3.45,1,1,1
1.619047619,1,1,1
3.52,1,1,1
3.875,1,1,1
4.68,1,1,1
2.04,1,1,1
4.761904762,1,1,1
6.04,1,1,1
1.56,1,1,1
4.619047619,1,1,1
2.416666667,1,1,1
6.28,1,1,1
4,1,0,1
2.4,1,0,1
3.333333333,1,0,1
2.7,1,0,1
1.7,1,0,1
1.875,1,0,1
4.833333333,1,0,1
4.05,1,0,1
3.916666667,1,0,1
4.2,1,0,1
5.4,1,0,1
5.291666667,1,0,1
5.041666667,1,0,1
2.75,1,0,1
2.05,1,0,1
2.92,1,0,1
4.208333333,1,0,1
2.85,1,0,1
3.5,1,0,1
3.80952381,1,0,1
1.35,1,0,1
3.55,1,0,1
6.32,1,0,1
5.45,1,0,1
4.05,1,0,1
2.833333333,1,0,1
1.65,1,0,1
3.64,1,0,1
3.84,1,0,1
5.88,1,0,1
3.625,1,0,1
3.35,1,0,1
4.56,1,0,1
2.3,1,0,1
5.125,1,0,1
4.8,1,0,1
2.9,1,0,1
1.619047619,1,0,1
3,1,0,1
1,1,0,1
5.458333333,1,0,1
3.2,1,0,1
3.571428571,1,0,1
4.666666667,1,0,1
3.44,1,0,1
4.125,1,0,1
3.35,1,0,1
4.047619048,1,0,1
2.6,1,0,1
5.571428571,1,0,1
3.857142857,1,0,1
2.72,1,0,1
4.761904762,1,0,1
3.208333333,1,0,1
4.75,1,0,1
5.6,1,0,1
4.476190476,1,0,1
5.708333333,1,0,1
3.44,1,0,1
4.333333333,1,0,1
1.6,1,0,1
4.083333333,1,0,1
5.95,1,0,1
1.904761905,1,0,1
4.55,1,0,1
3.4,1,0,1
5.166666667,1,0,1
5.142857143,1,0,1
6,1,0,1
2,1,0,1
3.833333333,1,0,1
1.65,1,0,1
2.84,1,0,1
6.476190476,1,0,1
4.72,1,0,1
3.72,1,0,1
3.625,1,0,1
4.952380952,1,0,1
3.16,1,0,1
5.833333333,1,0,1
5.19047619,1,0,1
3.333333333,1,0,1
2.333333333,1,0,1
2.4,1,0,1
2.25,1,0,1
5.48,1,0,1
5.75,1,0,1
3.3,1,0,1
4.08,1,0,1
3.76,1,0,1
5.857142857,1,0,1
2.15,1,0,1
1.08,1,0,1
3.85,1,0,1
1.56,1,0,1
3.583333333,1,0,1
3.12,1,0,1
1.84,1,0,1
5.75,1,0,1
4.96,1,0,1
2.428571429,1,0,1
4.166666667,1,0,1
2.761904762,1,0,1
6.285714286,1,0,1
4.208333333,1,0,1
1.3,1,0,1
3.19047619,1,0,1
4.28,1,0,1
3.80952381,1,0,1
2.571428571,1,0,1
5,1,0,1
5.095238095,1,0,1
1.476190476,1,0,1
5.15,1,0,1
3.04,1,0,1
5.761904762,1,0,1
3.916666667,1,1,2
2.75,1,1,2
2.3,1,1,2
3.5,1,1,2
2.041666667,1,1,2
2.04,1,1,2
4.8,1,1,2
5.541666667,1,1,2
3.6,1,1,2
3.714285714,1,1,2
5.571428571,1,1,2
5.32,1,1,2
5.36,1,1,2
3.72,1,1,2
2.916666667,1,1,2
2.666666667,1,1,2
4,1,1,2
3.833333333,1,1,2
3.88,1,1,2
3.75,1,1,2
1.5,1,1,2
4.208333333,1,1,2
5.238095238,1,1,2
5.708333333,1,1,2
4.208333333,1,1,2
2.92,1,1,2
1.833333333,1,1,2
2.857142857,1,1,2
3.238095238,1,1,2
5.285714286,1,1,2
3.68,1,1,2
3.333333333,1,1,2
2.857142857,1,1,2
2.041666667,1,1,2
5.88,1,1,2
4.25,1,1,2
3.416666667,1,1,2
1.8,1,1,2
3.36,1,1,2
1,1,1,2
6.6,1,1,2
2.904761905,1,1,2
4.45,1,1,2
4.35,1,1,2
3.571428571,1,1,2
5.28,1,1,2
3.541666667,1,1,2
3.15,1,1,2
2.19047619,1,1,2
5.3,1,1,2
3.75,1,1,2
2.952380952,1,1,2
4.55,1,1,2
4.44,1,1,2
3.84,1,1,2
6.80952381,1,1,2
5.1,1,1,2
5.68,1,1,2
2.476190476,1,1,2
4.1,1,1,2
1.458333333,1,1,2
4,1,1,2
5.541666667,1,1,2
2.35,1,1,2
3.625,1,1,2
4.095238095,1,1,2
5.48,1,1,2
4.8,1,1,2
5.714285714,1,1,2
1.6,1,1,2
3.48,1,1,2
1.958333333,1,1,2
2.80952381,1,1,2
6.6,1,1,2
4.095238095,1,1,2
3.523809524,1,1,2
3.64,1,1,2
5.9,1,1,2
3.380952381,1,1,2
5.56,1,1,2
5.25,1,1,2
4.56,1,1,2
2.05,1,1,2
1.80952381,1,1,2
2.791666667,1,1,2
4.095238095,1,1,2
4.75,1,1,2
3,1,1,2
4.047619048,1,1,2
3.19047619,1,1,2
5.45,1,1,2
2.791666667,1,1,2
1.19047619,1,1,2
3.625,1,1,2
1.904761905,1,1,2
3.36,1,1,2
3.380952381,1,1,2
1.571428571,1,1,2
4.76,1,1,2
4.571428571,1,1,2
3.05,1,1,2
4.04,1,1,2
2.65,1,1,2
4.7,1,1,2
4,1,1,2
1.416666667,1,1,2
2.95,1,1,2
4.380952381,1,1,2
5.05,1,1,2
2.65,1,1,2
4.916666667,1,1,2
5.1,1,1,2
1.3,1,1,2
6,1,1,2
2.285714286,1,1,2
6.25,1,1,2
3.12,1,0,2
2.84,1,0,2
3.958333333,1,0,2
3.44,1,0,2
2.56,1,0,2
1.761904762,1,0,2
3.428571429,1,0,2
5.44,1,0,2
4.523809524,1,0,2
3.85,1,0,2
4.65,1,0,2
5.333333333,1,0,2
4.619047619,1,0,2
3.619047619,1,0,2
3,1,0,2
2.95,1,0,2
3.857142857,1,0,2
3.52,1,0,2
3.571428571,1,0,2
4.625,1,0,2
1.72,1,0,2
4.24,1,0,2
4.95,1,0,2
5.96,1,0,2
4.2,1,0,2
3,1,0,2
1.8,1,0,2
3.05,1,0,2
4,1,0,2
5.65,1,0,2
3.333333333,1,0,2
3.24,1,0,2
3.6,1,0,2
2.12,1,0,2
5.857142857,1,0,2
5.04,1,0,2
4.56,1,0,2
1.916666667,1,0,2
3.523809524,1,0,2
1,1,0,2
6.285714286,1,0,2
2.1,1,0,2
3.541666667,1,0,2
4.666666667,1,0,2
2.4,1,0,2
4.333333333,1,0,2
4.16,1,0,2
4.25,1,0,2
1.8,1,0,2
5.625,1,0,2
4.583333333,1,0,2
2.9,1,0,2
3.75,1,0,2
4.80952381,1,0,2
4.571428571,1,0,2
5.45,1,0,2
5.208333333,1,0,2
5.428571429,1,0,2
2.15,1,0,2
4.666666667,1,0,2
1.48,1,0,2
3.761904762,1,0,2
5.56,1,0,2
2.375,1,0,2
3.44,1,0,2
3.25,1,0,2
4.19047619,1,0,2
5.791666667,1,0,2
5.05,1,0,2
1.571428571,1,0,2
4.285714286,1,0,2
1.96,1,0,2
2.7,1,0,2
5.791666667,1,0,2
5.25,1,0,2
3.2,1,0,2
4,1,0,2
5.625,1,0,2
3.1,1,0,2
5.238095238,1,0,2
4.875,1,0,2
4.571428571,1,0,2
2.041666667,1,0,2
1.8,1,0,2
2.8,1,0,2
4.95,1,0,2
5.12,1,0,2
2.92,1,0,2
4.35,1,0,2
2.75,1,0,2
5.166666667,1,0,2
2.96,1,0,2
1.25,1,0,2
3.44,1,0,2
1.75,1,0,2
3.380952381,1,0,2
2.9,1,0,2
1.55,1,0,2
5.619047619,1,0,2
3.4,1,0,2
2.708333333,1,0,2
3.952380952,1,0,2
2.791666667,1,0,2
5.583333333,1,0,2
4.095238095,1,0,2
1.08,1,0,2
3.041666667,1,0,2
4.5,1,0,2
4.791666667,1,0,2
2.416666667,1,0,2
5.4,1,0,2
5.458333333,1,0,2
1.75,1,0,2
5.8,1,0,2
2.75,1,0,2
6.041666667,1,0,2
5.4,0,1,1
1.68,0,1,1
5.9,0,1,1
4.375,0,1,1
4.04,0,1,1
2.476190476,0,1,1
4.666666667,0,1,1
5,0,1,1
2.12,0,1,1
6.416666667,0,1,1
5.5,0,1,1
4.5,0,1,1
3.041666667,0,1,1
6.1,0,1,1
6.142857143,0,1,1
5.571428571,0,1,1
4.25,0,1,1
4.75,0,1,1
5.208333333,0,1,1
4.142857143,0,1,1
5.04,0,1,1
3.65,0,1,1
5.142857143,0,1,1
6.55,0,1,1
2.761904762,0,1,1
4.904761905,0,1,1
4.416666667,0,1,1
3.523809524,0,1,1
5.6,0,1,1
3.24,0,1,1
4.380952381,0,1,1
4.958333333,0,1,1
2.833333333,0,1,1
3.65,0,1,1
5.19047619,0,1,1
2.56,0,1,1
4.208333333,0,1,1
5.08,0,1,1
1.7,0,1,1
2.32,0,1,1
4.64,0,1,1
3.5,0,1,1
3.476190476,0,1,1
6,0,1,1
4.45,0,1,1
5.904761905,0,1,1
4.19047619,0,1,1
1.761904762,0,1,1
3.291666667,0,1,1
2.48,0,1,1
6.16,0,1,1
4.416666667,0,1,1
5.08,0,1,1
4.761904762,0,1,1
5.35,0,1,1
3.666666667,0,1,1
3.28,0,1,1
2.7,0,1,1
1.95,0,1,1
4.08,0,1,1
3.1,0,1,1
4.904761905,0,1,1
5.96,0,1,1
5.291666667,0,1,1
5.666666667,0,1,1
3.047619048,0,1,1
1.416666667,0,1,1
4.428571429,0,1,1
3.16,0,1,1
5.3,0,1,1
5.333333333,0,1,1
5.5,0,1,1
4.958333333,0,1,1
5.380952381,0,1,1
4.761904762,0,1,1
1.36,0,1,1
2.428571429,0,1,1
4.333333333,0,1,1
6.45,0,1,1
3.166666667,0,1,1
5.125,0,1,1
3.6,0,1,1
4.4,0,1,1
4.523809524,0,1,1
2.142857143,0,1,1
6.625,0,1,1
5.55,0,1,1
6.166666667,0,1,1
3.238095238,0,1,1
5,0,1,1
5.041666667,0,1,1
3.833333333,0,1,1
4.45,0,1,1
4.19047619,0,1,1
4.08,0,1,1
4.2,0,1,1
2.45,0,1,1
5,0,1,1
2,0,1,1
6.65,0,1,1
1.4,0,1,1
5.142857143,0,1,1
3.166666667,0,1,1
4.714285714,0,1,1
6.166666667,0,1,1
6.1,0,1,1
3.583333333,0,1,1
2.16,0,1,1
3.88,0,1,1
3.083333333,0,1,1
3.32,0,1,1
5.1,0,1,1
3.458333333,0,1,1
4.541666667,0,1,1
4.65,0,1,1
4.85,0,1,1
2.7,0,1,1
5.238095238,0,0,1
1.666666667,0,0,1
5.5,0,0,1
4.6,0,0,1
4.047619048,0,0,1
1.8,0,0,1
4.15,0,0,1
5.08,0,0,1
2.095238095,0,0,1
6.88,0,0,1
6.04,0,0,1
5.04,0,0,1
2.92,0,0,1
4.583333333,0,0,1
4.85,0,0,1
4.75,0,0,1
5.666666667,0,0,1
4.92,0,0,1
5.56,0,0,1
3.35,0,0,1
5.571428571,0,0,1
4.166666667,0,0,1
4.95,0,0,1
6.041666667,0,0,1
2.65,0,0,1
5.05,0,0,1
5.68,0,0,1
2.85,0,0,1
4.619047619,0,0,1
3.047619048,0,0,1
3.8,0,0,1
5.24,0,0,1
3.2,0,0,1
4.833333333,0,0,1
4.5,0,0,1
2.952380952,0,0,1
4.48,0,0,1
5,0,0,1
2.333333333,0,0,1
3.142857143,0,0,1
4.571428571,0,0,1
3.791666667,0,0,1
3.05,0,0,1
5.047619048,0,0,1
4.375,0,0,1
6.2,0,0,1
4.9,0,0,1
1.45,0,0,1
3.44,0,0,1
2.666666667,0,0,1
5.428571429,0,0,1
4.24,0,0,1
5.476190476,0,0,1
3.9,0,0,1
5.416666667,0,0,1
3.92,0,0,1
3.095238095,0,0,1
3.583333333,0,0,1
1.916666667,0,0,1
3.476190476,0,0,1
2.541666667,0,0,1
3.95,0,0,1
5.428571429,0,0,1
5.28,0,0,1
5.6,0,0,1
2.15,0,0,1
2.28,0,0,1
2.55,0,0,1
2.761904762,0,0,1
4.875,0,0,1
5.68,0,0,1
5.625,0,0,1
4.84,0,0,1
5.1,0,0,1
4.05,0,0,1
1.761904762,0,0,1
2,0,0,1
4.44,0,0,1
6.416666667,0,0,1
3.92,0,0,1
5.68,0,0,1
3.208333333,0,0,1
4.208333333,0,0,1
4.8,0,0,1
1.95,0,0,1
6.88,0,0,1
5.625,0,0,1
6.08,0,0,1
2.4,0,0,1
4.714285714,0,0,1
5.52,0,0,1
3.4,0,0,1
4.791666667,0,0,1
3.6,0,0,1
3.904761905,0,0,1
4.904761905,0,0,1
3.083333333,0,0,1
3.7,0,0,1
1.85,0,0,1
6.375,0,0,1
1.625,0,0,1
5.15,0,0,1
3.76,0,0,1
4.55,0,0,1
6,0,0,1
6.666666667,0,0,1
4.72,0,0,1
2.285714286,0,0,1
4.142857143,0,0,1
3.64,0,0,1
3.952380952,0,0,1
4.958333333,0,0,1
3.72,0,0,1
4.6,0,0,1
4.375,0,0,1
4.916666667,0,0,1
3.75,0,0,1
4.75,0,1,2
1.65,0,1,2
6.28,0,1,2
3.761904762,0,1,2
3.45,0,1,2
1.75,0,1,2
5.083333333,0,1,2
5.380952381,0,1,2
2.05,0,1,2
6.238095238,0,1,2
5.142857143,0,1,2
4.714285714,0,1,2
2.380952381,0,1,2
4.52,0,1,2
5.416666667,0,1,2
5.916666667,0,1,2
5.44,0,1,2
4.571428571,0,1,2
5.571428571,0,1,2
3.5,0,1,2
4.95,0,1,2
4.44,0,1,2
5,0,1,2
6.2,0,1,2
2.625,0,1,2
5.708333333,0,1,2
4.761904762,0,1,2
3.5,0,1,2
5.45,0,1,2
2.95,0,1,2
4.541666667,0,1,2
4.523809524,0,1,2
2.523809524,0,1,2
4.16,0,1,2
5.041666667,0,1,2
2.55,0,1,2
3.571428571,0,1,2
4,0,1,2
2.12,0,1,2
2.8,0,1,2
6,0,1,2
4.6,0,1,2
4.083333333,0,1,2
5.2,0,1,2
5.2,0,1,2
6.333333333,0,1,2
5.083333333,0,1,2
1.583333333,0,1,2
3.142857143,0,1,2
2.7,0,1,2
5.85,0,1,2
3.238095238,0,1,2
5.1,0,1,2
3.791666667,0,1,2
5.08,0,1,2
3,0,1,2
2.95,0,1,2
3.56,0,1,2
2.08,0,1,2
4.15,0,1,2
2.84,0,1,2
3.75,0,1,2
4.55,0,1,2
3.952380952,0,1,2
6.041666667,0,1,2
2.75,0,1,2
1.904761905,0,1,2
4.333333333,0,1,2
2.55,0,1,2
5.08,0,1,2
5.095238095,0,1,2
5.16,0,1,2
3.285714286,0,1,2
5.458333333,0,1,2
4.333333333,0,1,2
1.55,0,1,2
2.291666667,0,1,2
3.666666667,0,1,2
6.32,0,1,2
2.952380952,0,1,2
5.380952381,0,1,2
3.12,0,1,2
4.76,0,1,2
5.625,0,1,2
2.291666667,0,1,2
5.476190476,0,1,2
4.84,0,1,2
5.619047619,0,1,2
3.333333333,0,1,2
4.75,0,1,2
4.761904762,0,1,2
2.952380952,0,1,2
4.68,0,1,2
2.833333333,0,1,2
3.9,0,1,2
5.7,0,1,2
3.4,0,1,2
4.875,0,1,2
1.583333333,0,1,2
5.88,0,1,2
1.64,0,1,2
6.625,0,1,2
3.285714286,0,1,2
5.166666667,0,1,2
5.428571429,0,1,2
7.08,0,1,2
3.952380952,0,1,2
2.4,0,1,2
2.9,0,1,2
3.238095238,0,1,2
4.95,0,1,2
4.96,0,1,2
3.238095238,0,1,2
4.238095238,0,1,2
4.84,0,1,2
4.96,0,1,2
3.08,0,1,2
5.666666667,0,0,2
1.833333333,0,0,2
5.714285714,0,0,2
3.9,0,0,2
4.166666667,0,0,2
2.24,0,0,2
5.36,0,0,2
5.4,0,0,2
2.208333333,0,0,2
6.8,0,0,2
4.4,0,0,2
4.45,0,0,2
2.25,0,0,2
4.666666667,0,0,2
6.4,0,0,2
5.56,0,0,2
4.857142857,0,0,2
4.4,0,0,2
5.35,0,0,2
4.48,0,0,2
5.041666667,0,0,2
4.523809524,0,0,2
4.96,0,0,2
6.666666667,0,0,2
3,0,0,2
4.72,0,0,2
3.85,0,0,2
3.76,0,0,2
5.375,0,0,2
3.375,0,0,2
4.92,0,0,2
4.2,0,0,2
2.65,0,0,2
4.904761905,0,0,2
5.56,0,0,2
2.958333333,0,0,2
3.55,0,0,2
5.791666667,0,0,2
2.142857143,0,0,2
3.083333333,0,0,2
4.958333333,0,0,2
3.428571429,0,0,2
3.92,0,0,2
5.041666667,0,0,2
4.857142857,0,0,2
5.52,0,0,2
5.2,0,0,2
1.52,0,0,2
2.9,0,0,2
1.958333333,0,0,2
6.458333333,0,0,2
3.85,0,0,2
5.125,0,0,2
3.92,0,0,2
4.571428571,0,0,2
2.9,0,0,2
3.541666667,0,0,2
3.666666667,0,0,2
1.523809524,0,0,2
4,0,0,2
2.571428571,0,0,2
4.52,0,0,2
5.416666667,0,0,2
4.1,0,0,2
6.2,0,0,2
3.52,0,0,2
2.25,0,0,2
4.36,0,0,2
2.916666667,0,0,2
5.380952381,0,0,2
4.85,0,0,2
5.666666667,0,0,2
4.95,0,0,2
5.68,0,0,2
5.44,0,0,2
2.041666667,0,0,2
2.6,0,0,2
3.4,0,0,2
5.619047619,0,0,2
2.65,0,0,2
5.5,0,0,2
3.857142857,0,0,2
4.666666667,0,0,2
5.08,0,0,2
2.12,0,0,2
6.25,0,0,2
5.047619048,0,0,2
6.1,0,0,2
3.28,0,0,2
5.125,0,0,2
4.45,0,0,2
3.05,0,0,2
5.142857143,0,0,2
4.16,0,0,2
3.875,0,0,2
5.291666667,0,0,2
